"Age","Common_Name","Length","mass"
28,"Muskellunge",122.22668164589,32988.8889480814
29,"Muskellunge",122.335143883298,33082.3076305693
30,"Muskellunge",122.425297715208,33160.0953064681
0,"Burbot",15.3964809455392,28.5545933298642
1,"Burbot",25.5005780007564,130.100622498091
2,"Burbot",34.3689970629144,319.04370329818
3,"Burbot",42.1528550595512,589.282146475373
4,"Burbot",48.9847881117837,925.525769248089
5,"Burbot",54.9812116398536,1309.56313383003
6,"Burbot",60.2443040696367,1723.66207097918
0,"Lake sturgeon",39.0798086487252,12908.6575683681
1,"Lake sturgeon",44.2425029464222,18974.210563591
2,"Lake sturgeon",49.2155542392236,26410.5439343109
3,"Lake sturgeon",54.0059287481048,35237.2653138751
4,"Lake sturgeon",58.6203368014776,45450.3129134275
5,"Lake sturgeon",63.0652422349788,57026.0202283218
6,"Lake sturgeon",67.3468714459732,69924.7237042173
7,"Lake sturgeon",71.4712221154541,84093.9366021411
8,"Lake sturgeon",75.44407160956,99471.120365857
9,"Lake sturgeon",79.2709850724745,115986.088089682
10,"Lake sturgeon",82.9573232220481,133563.075278035
11,"Lake sturgeon",86.5082498590598,152122.51214526
12,"Lake sturgeon",89.9287391006388,171582.529908483
13,"Lake sturgeon",93.2235823479789,191860.231288071
14,"Lake sturgeon",96.3973949981047,212872.753000685
15,"Lake sturgeon",99.4546229090926,234538.145562992
16,"Lake sturgeon",102.399548627803,256776.093313745
17,"Lake sturgeon",105.236297388846,279508.495263639
18,"Lake sturgeon",107.968842893187,302659.92522734
19,"Lake sturgeon",110.601012874482,326157.987695419
20,"Lake sturgeon",113.136494460946,349933.584070605
21,"Lake sturgeon",115.57883934026,373921.102221154
22,"Lake sturgeon",117.931468734751,398058.540788427
23,"Lake sturgeon",120.197678193827,422287.578317746
24,"Lake sturgeon",122.380642210357,446553.596051706
25,"Lake sturgeon",124.483418667484,470805.662123008
26,"Lake sturgeon",126.508953122091,494996.48389933
27,"Lake sturgeon",128.460082930918,519082.334355458
28,"Lake sturgeon",130.339541225115,543022.957568228
29,"Lake sturgeon",132.149960738797,566781.457738408
30,"Lake sturgeon",133.89387749696,590324.175531967
31,"Lake sturgeon",135.573734367934,613620.55499313
32,"Lake sturgeon",137.191884485333,636643.003805907
33,"Lake sturgeon",138.750594544318,659366.749262567
34,"Lake sturgeon",140.252047976761,681769.691930804
35,"Lake sturgeon",141.698348009793,703832.258690334
36,"Lake sturgeon",143.091520611986,725537.256529474
37,"Lake sturgeon",144.43351733132,746869.72824826
38,"Lake sturgeon",145.726218028898,767816.811002737
39,"Lake sturgeon",146.971433512249,788367.598441532
40,"Lake sturgeon",148.17090807189,808513.007027434
41,"Lake sturgeon",149.326321924725,828245.647000391
42,"Lake sturgeon",150.439293567675,847559.698321559
43,"Lake sturgeon",151.511382044867,866450.791838378
44,"Lake sturgeon",152.544089131528,884915.895826011
45,"Lake sturgeon",153.538861437666,902953.207989024
46,"Lake sturgeon",154.497092434471,920562.05294722
47,"Lake sturgeon",155.420124406282,937742.785179604
48,"Lake sturgeon",156.309250330853,954496.697359258
49,"Lake sturgeon",157.165715690543,970825.933978259
50,"Lake sturgeon",157.990720216988,986733.410134726
51,"Lake sturgeon",158.78541957167,1002222.73533265
52,"Lake sturgeon",159.550926964768,1017298.1421286
53,"Lake sturgeon",160.288314714531,1031964.41944705
54,"Lake sturgeon",160.998615749378,1046226.85037725
55,"Lake sturgeon",161.682825054818,1060091.15425867
56,"Lake sturgeon",162.341901067218,1073563.4328591
57,"Lake sturgeon",162.976767016376,1086650.12044793
58,"Lake sturgeon",163.588312218776,1099357.93756829
59,"Lake sturgeon",164.177393323338,1111693.84831369
60,"Lake sturgeon",164.744835511405,1123665.02091809
61,"Lake sturgeon",165.291433652654,1135278.79147298
62,"Lake sturgeon",165.817953418543,1146542.63058992
63,"Lake sturgeon",166.325132354861,1157464.11283285
64,"Lake sturgeon",166.813680914876,1168050.88875068
